(0, 8)
(1, 9)
(1, 14)
(1, 15)
(1, 24)
(2, 10)
(2, 11)
(2, 16)
(3, 11)
(4, 12)
(5, 13)
(5, 18)
(5, 19)
(5, 28)
(6, 14)
(6, 15)
(6, 20)
(7, 15)
(8, 16)
(9, 17)
(9, 22)
(9, 23)
(9, 32)
(10, 18)
(10, 19)
(10, 24)
(11, 19)
(12, 20)
(13, 21)
(13, 26)
(13, 27)
(13, 36)
(14, 22)
(14, 23)
(14, 28)
(15, 23)
(16, 24)
(17, 25)
(17, 30)
(17, 31)
(17, 40)
(18, 26)
(18, 27)
(18, 32)
(19, 27)
(20, 28)
(21, 29)
(21, 34)
(21, 35)
(21, 44)
(22, 30)
(22, 31)
(22, 36)
(23, 31)
(24, 32)
(25, 33)
(25, 38)
(25, 39)
(26, 34)
(26, 35)
(26, 40)
(27, 35)
(28, 36)
(29, 37)
(29, 42)
(29, 43)
(30, 38)
(30, 39)
(30, 44)
(31, 39)
(32, 40)
(33, 41)
(34, 42)
(34, 43)
(35, 43)
(36, 44)
